Field=LibRef~String~LibRef~74|Field=Category~String~Category~89|Field=Description~String~Description~332|Field=Quantity~Integer~Quantity~62|Field=Comment~String~Comment~113|Field=Footprint~String~Footprint~116|Field=Designator~String~Designator~205|Field=Manufacturer 1~String~Manufacturer 1~95|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer 2~String~Manufacturer 2~102|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DB31.PRJPCB|ReportField=ProjectFullPath~C:\Documents and Settings\sean.connor\Desktop\TrialReleases\DB31_W09_Release\Source\DB31.PRJPCB|ReportField=Title~Bill of Materials For Variant [Production] of Project [DB31.PRJPCB] (No PCB Document Selected)|ReportField=TotalQuantity~202|ReportField=ReportTime~2:05:02 PM|ReportField=ReportDate~28/11/2008|ReportField=ReportDateTime~28/11/2008 2:05:02 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Production|ReportField=ProjectAddress1~L3, 12A Rodborough Road|ReportField=ProjectAddress2~Frenchs Forest|ReportField=ProjectAddress3~NSW 2086|ReportField=ProjectAddress4~Australia|ReportField=ProjectAssyNum~D-820-0005|ReportField=ProjectOrganization~Altium Limited|ReportField=ProjectRevision~07|ReportField=ProjectTitle~DB31 - Daughter Board Cyclone2|ReportField=ProjectTotalSheets~21|ReportField=Address1~Level 3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest 2086|ReportField=Address3~NSW|ReportField=Address4~AUSTRALIA|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~28/11/2008|ReportField=CurrentTime~2:04:59 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Documents and Settings\sean.connor\Desktop\TrialReleases\DB31_W09_Release\Source\DB31_Top.SchDoc|ReportField=DocumentName~DB31_Top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~23/09/2008|ReportField=Organization~Altium Limited.|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~21|ReportField=Time~|ReportField=Title~DB31 Top Level|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.97|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=A3 (297 x 420mm)|PrintScaleMode=1|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~DB31.PRJPCB|ReportField=DataSourceFullPath~C:\Documents and Settings\sean.connor\Desktop\TrialReleases\DB31_W09_Release\Source\DB31.PRJPCB
D-100-0088|Resistor|Resistor, 4K7 1% 0402 (1005)|5|4K7 1%|RESC1005-STAR|R3, R4, R5, R8, R11|PHYCOMP|232270674702L|VISHAY|CRCW04024K70FKED||
D-100-0105|Resistor|Resistor, 2K7 1% 0402 (1005)|2|2K7 1%|RESC1005-STAR|R20, R22|PHYCOMP|232270672702L|VISHAY|CRCW04022K70FKED||
D-100-0109|Resistor|Resistor, 27K 1% 0402 (1005)|1|27K 1%|RESC1005-STAR|R21|PHYCOMP|232270672703L|VISHAY|CRCW040227K0FKED||
D-100-0111|Resistor|Resistor, 270R 1% 0402 (1005)|2|270R 1%|RESC1005-STAR|R1, R2|PHYCOMP|232270672701L|VISHAY|CRCW0402270RFKED||
D-100-0128|Resistor|Resistor, 10R 1% 0402 (1005)|1|10R 1%|RESC1005-STAR|R19|PHYCOMP|232270671009L|VISHAY|CRCW040210R0FKED||
D-100-0131|Resistor|Resistor, 100R 1% 0402 (1005)|11|100R 1%|RESC1005-STAR|R6, R7, R9, R10, R12, R13, R14, R15, R16, R17, R18|PHYCOMP|232270671001L|VISHAY|CRCW0402100RFKED||
D-100-0132|Resistor|Resistor, 100K 1% 0402 (1005)|1|100K 1%|RESC1005-STAR|R23|PHYCOMP|232270671004L|VISHAY|CRCW0402100KFKED||
D-101-0021|Capacitor|Capacitor, Ceramic, 22uF -20%/+80% 10V 1210 (3225) Y5V|2|22uF 10V|CAPC3225-STAR|C130, C132|AVX|1210ZG226ZAT2A||||
D-101-0027|Capacitor|Capacitor, Ceramic, 1uF 10% 25V 1206 (3216) X7R|1|1uF 25V|CAPC3216-STAR|C133|Murata|GRM31MR71E105KA01L|AVX|12063C105KAT2A|MURATA|GRM31MR71E105KC01L
D-101-0030|Capacitor|Capacitor, Ceramic, 1nF 10% 50V 0402 (1005) X7R|4|1nF 50V|CAPC1005-STAR|C110, C114, C118, C122|Murata|GRM155R71H102KA01D|Yaiyo Yuden|UMK105BJ102KV-F||
D-101-0069|Capacitor|Capacitor, Ceramic, 470pF 5% 50V 0402 (1005) COG|1|470pF 50V|CAPC1005-STAR|C126|MURATA|GRM1555C1H471JA01D||||
D-101-0077|Capacitor|Capacitor, Ceramic, 10nF 10% 16V 0402 (1005) X7R|75|10nF 16V|CAPC1005-STAR|C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C104, C105, C106, C109, C113, C117, C121, C138, C139, C140, C141, C144, C145, C148, C149, C154, C155, C156, C157|AVX|0402YC103KAT2A|PHYCOMP|223878715636||
